time,pitch,roll,heading,aileronInput,elevatorInput,Baro_altitude,Baro_vertical_speed,Baro_temperature,GPS_locked,GPS_coord_x,GPS_coord_y,GPS_altitude,GPS_heading,GPS_speed,GPS_satellites,aileronTrim,elevatorTrim
34.652,4.81,137.5,194.31,-1.0,0.0,16.38,0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
34.852,4.81,137.5,194.31,-1.0,0.0,16.39,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
35.052,4.81,137.5,194.31,-1.0,0.0,16.38,0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
35.252,4.81,137.5,194.31,-1.0,0.0,16.4,0.02,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
35.452,4.81,137.5,194.31,-1.0,0.0,16.48,0.09,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
35.652,4.81,137.5,194.31,-1.0,0.0,16.45,0.05,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
35.852,4.81,137.5,194.31,-1.0,0.0,16.48,0.07,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36.052,4.81,137.5,194.31,-1.0,0.0,16.43,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36.252,4.81,137.5,194.31,-1.0,0.0,16.42,0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36.462,4.81,137.5,194.31,-1.0,0.0,16.44,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36.662,4.81,137.5,194.31,-1.0,0.0,16.4,-0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
36.864,4.81,137.5,194.31,-1.0,0.0,16.39,-0.03,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37.064,4.81,137.5,194.31,-1.0,0.0,16.41,-0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37.264,4.81,137.5,194.31,-1.0,0.0,16.42,0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37.467,4.81,137.5,194.31,-1.0,0.0,16.41,-0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37.667,4.81,137.5,194.31,-1.0,0.0,16.43,0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
37.867,4.81,137.5,194.31,-1.0,0.0,16.42,0.0,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
38.067,4.81,137.5,194.31,-1.0,0.0,16.4,-0.01,30.01,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
